A,C_KSWCK,C_SAC007,C_SAC022,C_SAC029A,C_SAC041,C_SAC062,C_SAC063,C_SAC065,C_SAC075,C_SAC083,C_SAC093,C_SAC120,C_SAC122,C_SAC148,C_SAC159,C_SAC169,C_SAC185,C_SAC193,C_SAC207,C_SAC217,C_SAC240,C_SAC247,C_SAC257,C_SAC269,C_SAC287,C_YBP002,SP_SAC083_YBP037
1925-04-30,3250.0,18553.135,17510.48,17510.48,21530.53,21135.691,21191.643,17108.398,17159.58,17017.84,12316.455,11765.305,11765.305,11983.666,11987.72,12037.553,11985.367,11956.286,11731.057,11556.942,9434.231,9798.4,9674.74,7165.575,3582.862,876.13855,0.0
1925-05-31,5852.7764,13720.906,13130.262,13130.262,16428.354,16212.161,16291.118,9700.025,9813.638,9806.95,5047.874,4456.4917,4638.0664,5208.2715,5148.3716,5180.719,7357.502,7329.25,7173.4917,8890.854,7802.9814,8385.822,8309.28,7317.6504,5982.6885,884.8998,0.0
1925-06-30,8512.625,6116.817,6650.0405,6650.0405,11294.231,11147.585,11248.165,7245.9287,7480.375,7704.0254,3851.9092,4277.4517,4503.167,5367.632,5357.805,5580.206,6720.0474,6722.175,6712.104,8808.191,8690.114,9849.625,9779.919,9406.34,8473.128,251.82016,0.0
1925-07-31,11289.984,7391.396,8003.527,8003.527,13775.822,13651.018,13761.207,8741.779,8931.95,9241.91,4121.6514,4737.58,5102.3325,6125.7456,6151.022,6517.9233,7619.4487,7655.7305,7779.4014,10320.402,10255.679,11597.632,11533.351,11587.081,10959.781,266.68134,0.0
1925-08-31,8497.367,4509.002,4973.412,4973.412,9279.437,9134.703,9283.089,7649.089,7792.8784,7972.356,4232.742,4515.532,4691.6045,5246.7173,5257.8145,5414.821,6297.8145,6312.959,6388.6733,8037.6147,7963.0874,9127.529,9062.061,8838.291,8297.552,172.82927,0.0
1925-09-30,5833.4854,6061.175,6212.746,6212.746,11118.483,10924.083,11077.332,9347.473,9357.452,9231.754,5955.014,4525.5474,4525.5474,4539.5215,4530.6694,4580.4976,5375.5273,5362.078,5286.428,6094.1655,5990.064,6520.103,6449.7817,6406.413,5870.393,225.01144,0.0
1925-10-31,5816.327,4264.2,4440.5703,4440.5703,8488.753,8278.398,8396.124,6567.6973,6675.178,6706.948,4865.7744,4520.014,4577.015,4702.718,4705.6865,4711.2285,5454.5107,5462.153,5461.4585,6231.5737,6060.2607,6340.7676,6269.5923,6479.3833,5910.303,50.000904,0.0
1925-11-30,4767.5103,5194.159,5569.0913,5569.0913,9174.071,8764.129,8815.25,6858.57,6850.8594,6864.111,4826.967,4586.438,5089.9067,5102.1235,5106.92,5116.4233,5580.9414,5578.627,5242.179,5957.3833,5565.3257,5587.148,5498.5854,5829.086,5025.7505,95.43132,0.0
1925-12-31,3873.3364,5734.2607,5891.1543,5891.1543,9034.668,8487.365,8530.786,6455.4224,6421.307,6357.7676,5447.648,5010.894,5416.0215,5182.5884,5186.905,5190.351,5549.364,5536.212,5485.8447,5903.5146,5402.5244,5407.3145,5300.9727,5191.0024,4148.641,138.63287,0.0
1926-01-31,3250.0,15718.175,14937.623,14937.623,18533.61,17909.057,17951.816,16330.159,16280.075,16070.529,9390.194,6991.1685,6980.171,7008.79,7028.8613,7144.6313,8394.367,8220.916,7880.7495,7546.609,6153.838,6190.404,6065.9097,5878.313,3530.24,709.5725,0.0
1926-02-28,3250.0,40948.12,34384.492,34384.492,41185.758,39180.37,39224.277,36114.523,36017.195,35320.082,19718.297,19322.68,18472.084,19845.832,22970.768,23133.04,22090.234,21963.99,19430.223,18612.947,14802.486,14810.261,14520.507,9899.339,3758.395,5124.1123,842.1766
1926-03-31,7499.5283,13978.929,13932.953,13932.953,17363.346,16909.553,16955.078,15453.955,15463.575,15286.324,11138.193,10515.822,10649.804,10671.932,10667.596,10724.123,10424.588,10405.9795,10261.43,10099.238,9192.339,9208.42,9086.119,9002.224,7706.888,234.51707,0.0
1926-04-30,3250.0,19283.525,16912.023,16912.023,20833.436,20179.543,20235.137,18683.73,18639.137,18188.2,10004.878,8216.232,8216.232,8255.974,8216.036,8220.889,11480.794,11371.728,10882.59,10282.813,7501.487,7647.2866,7491.0903,6934.9565,3460.0715,1995.1948,0.0
1926-05-31,8778.484,11238.121,11460.033,11460.033,14482.834,14311.48,14413.1875,11800.21,11952.28,12050.908,6310.879,5786.436,6017.247,6767.3853,6768.2407,6958.7876,8099.181,8105.297,8038.0083,9999.675,9733.369,10259.362,10190.085,9677.475,8699.769,404.78348,0.0
1926-06-30,9125.792,6504.221,7138.067,7138.067,11992.8955,11859.625,11960.205,8412.086,8720.361,8976.46,3682.2488,4166.662,4448.2705,5374.4404,5366.9624,5713.9487,6653.126,6662.0366,6691.4297,9016.103,8929.432,9686.419,9619.717,9688.848,8963.658,271.70834,0.0
1926-07-31,13136.537,10355.42,11092.24,11092.24,18359.162,18391.797,18501.986,15627.888,15854.114,16267.674,6033.8174,6590.06,6997.832,8053.008,8114.052,8576.627,9622.022,9678.779,9876.015,12525.961,12493.376,13297.12,13236.154,13339.087,12788.384,274.47183,0.0
